epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.78456,2.91721,3.62493,2.25488,0.00333,0.09722,0.00188,0.00089,2.64631,3.75834,2.42065,0.00014,0.00014,0.00014
2,19.4137,2.5842,3.273,1.96199,0.00619,0.18056,0.00449,0.00123,2.66141,3.7218,2.42112,0.00029406,0.00029406,0.00029406
3,28.9474,2.56033,2.6662,1.9378,0.01,0.29167,0.02239,0.00518,2.53351,3.6073,2.2423,0.000441784,0.000441784,0.000441784
4,38.4878,2.49085,2.50269,1.87648,0.01571,0.45833,0.07567,0.01792,2.57395,3.27895,2.03621,0.000583172,0.000583172,0.000583172
5,48.0592,2.44864,2.36945,1.79425,0.01667,0.48611,0.15879,0.0583,2.43096,3.04524,1.86695,0.000718224,0.000718224,0.000718224
6,58.1707,2.34943,2.31709,1.7865,0.75686,0.08677,0.20473,0.06933,2.41217,2.92063,1.86391,0.00084694,0.00084694,0.00084694
7,69.5447,2.36482,2.36532,1.81443,0.82637,0.13251,0.20828,0.05782,2.49693,2.89274,1.98786,0.00096932,0.00096932,0.00096932
8,80.7695,2.29061,2.16482,1.73816,0.61084,0.13102,0.2006,0.06835,2.44776,2.75871,1.90849,0.00108536,0.00108536,0.00108536
9,92.1069,2.17162,2.20733,1.67281,0.32377,0.20833,0.2071,0.06054,2.53436,2.58218,1.88368,0.00119507,0.00119507,0.00119507
10,104.487,2.21421,2.11127,1.65839,0.23673,0.20833,0.11298,0.0366,2.63961,2.77505,2.0023,0.00129844,0.00129844,0.00129844
11,116.784,2.27887,2.18136,1.71009,0.24615,0.15278,0.10489,0.03792,2.58086,2.81498,2.02085,0.00139548,0.00139548,0.00139548
12,129.182,2.21652,2.06776,1.69012,0.27474,0.19444,0.11468,0.03276,2.49289,2.65788,1.96642,0.00148618,0.00148618,0.00148618
13,141.738,2.1445,2.1252,1.70536,0.44066,0.22987,0.21427,0.05628,2.56893,2.40886,2.07763,0.0015248,0.0015248,0.0015248
14,154.129,2.20679,2.09838,1.75256,0.29688,0.22222,0.20704,0.05784,2.52942,2.44951,2.00276,0.0014852,0.0014852,0.0014852
15,166.431,2.17809,2.14255,1.72079,0.26133,0.19444,0.21199,0.05332,2.57645,2.44878,2.00732,0.0014456,0.0014456,0.0014456
16,177.589,2.03338,2.00186,1.63593,0.27535,0.19444,0.20865,0.05651,2.66793,2.46873,1.96506,0.001406,0.001406,0.001406
17,188.944,2.071,1.96553,1.59235,0.35534,0.29167,0.25938,0.07348,2.59255,2.34363,1.96684,0.0013664,0.0013664,0.0013664
18,200.388,2.00278,1.90278,1.59447,0.38028,0.27778,0.28598,0.0975,2.5165,2.20656,1.90302,0.0013268,0.0013268,0.0013268
19,211.549,2.02959,1.90245,1.57955,0.50706,0.23611,0.27069,0.08698,2.5537,2.2284,1.94253,0.0012872,0.0012872,0.0012872
20,222.898,1.94943,1.82155,1.54909,0.31619,0.27778,0.22687,0.06992,2.54632,2.34509,1.96504,0.0012476,0.0012476,0.0012476
21,234.212,2.00145,1.90389,1.58172,0.36929,0.23611,0.23335,0.06979,2.53464,2.30055,1.9979,0.001208,0.001208,0.001208
22,245.652,2.01796,1.86052,1.62215,0.38718,0.36111,0.29773,0.08652,2.47225,2.19676,1.93748,0.0011684,0.0011684,0.0011684
23,258.144,1.96782,1.72093,1.48274,0.40165,0.37294,0.30949,0.10099,2.42723,2.19013,1.90113,0.0011288,0.0011288,0.0011288
24,270.836,1.98005,1.78475,1.51643,0.36838,0.34027,0.31976,0.1131,2.36039,2.18475,1.82978,0.0010892,0.0010892,0.0010892
25,282.547,1.98053,1.80613,1.55877,0.52022,0.28621,0.35776,0.11438,2.44484,2.1499,1.883,0.0010496,0.0010496,0.0010496
26,294.163,1.88595,1.72963,1.49778,0.36389,0.375,0.3585,0.10595,2.4904,2.15507,1.92298,0.00101,0.00101,0.00101
27,305.74,1.98166,1.69321,1.5225,0.62048,0.27259,0.35165,0.12267,2.48335,2.12591,1.91461,0.0009704,0.0009704,0.0009704
28,317.235,1.88032,1.58813,1.45039,0.79716,0.23611,0.33504,0.10726,2.51714,2.13436,1.94799,0.0009308,0.0009308,0.0009308
29,328.677,1.91512,1.72682,1.53438,0.49575,0.25,0.28757,0.07866,2.51219,2.23822,1.96481,0.0008912,0.0008912,0.0008912
30,340.356,1.87832,1.5587,1.46153,0.52932,0.26389,0.29551,0.07756,2.48285,2.23289,1.94207,0.0008516,0.0008516,0.0008516
31,353.242,1.7976,1.62985,1.48058,0.60052,0.26389,0.32975,0.08876,2.43589,2.12335,1.91191,0.000812,0.000812,0.000812
32,365.664,1.86311,1.61004,1.47444,0.60407,0.31944,0.36987,0.09699,2.42144,2.09892,1.8911,0.0007724,0.0007724,0.0007724
33,378.046,1.84436,1.6951,1.47734,0.46585,0.36111,0.37403,0.09619,2.44067,2.12522,1.90179,0.0007328,0.0007328,0.0007328
34,390.969,1.75578,1.50964,1.4003,0.52466,0.40278,0.37572,0.09431,2.47274,2.15992,1.92768,0.0006932,0.0006932,0.0006932
35,403.751,1.79661,1.58531,1.47182,0.42434,0.31944,0.31048,0.08991,2.51219,2.15533,1.93819,0.0006536,0.0006536,0.0006536
36,415.61,1.83445,1.53105,1.44433,0.4178,0.36111,0.30008,0.0882,2.57793,2.16523,1.93721,0.000614,0.000614,0.000614
37,427.194,1.76261,1.49013,1.42869,0.43081,0.34722,0.33269,0.09673,2.54023,2.14064,1.92363,0.0005744,0.0005744,0.0005744
38,438.775,1.71133,1.43433,1.40307,0.4024,0.3835,0.33325,0.09898,2.53654,2.09903,1.90762,0.0005348,0.0005348,0.0005348
39,450.087,1.75695,1.51173,1.376,0.4281,0.34314,0.31458,0.09507,2.58738,2.10018,1.95199,0.0004952,0.0004952,0.0004952
40,461.414,1.69455,1.42292,1.34114,0.47429,0.23611,0.30025,0.09376,2.60909,2.11491,1.99318,0.0004556,0.0004556,0.0004556
41,472.927,1.75577,1.58817,1.44981,0.48686,0.23723,0.29637,0.09839,2.54483,2.14045,1.96428,0.000416,0.000416,0.000416
42,484.552,1.65251,1.47313,1.3984,0.46127,0.27778,0.3102,0.09953,2.49099,2.14275,1.94076,0.0003764,0.0003764,0.0003764
43,496.137,1.64722,1.48311,1.39431,0.66578,0.22222,0.31806,0.1094,2.44764,2.08935,1.91697,0.0003368,0.0003368,0.0003368
44,507.558,1.65938,1.42327,1.38907,0.41693,0.31944,0.34165,0.11218,2.42499,2.04415,1.8916,0.0002972,0.0002972,0.0002972
45,518.916,1.61451,1.50885,1.39823,0.46817,0.33333,0.36521,0.12241,2.41182,2.01184,1.86963,0.0002576,0.0002576,0.0002576
46,530.312,1.52232,1.4238,1.33778,0.48697,0.33333,0.37904,0.12311,2.41089,2.00968,1.85774,0.000218,0.000218,0.000218
47,541.74,1.56949,1.44495,1.34322,0.66322,0.27778,0.38502,0.11897,2.42188,2.01442,1.85833,0.0001784,0.0001784,0.0001784
48,553.579,1.57534,1.39941,1.32711,0.63742,0.27778,0.39633,0.12211,2.43123,2.00202,1.86351,0.0001388,0.0001388,0.0001388
49,565.032,1.5371,1.32634,1.27124,0.67248,0.26389,0.39845,0.12324,2.43961,1.99585,1.86342,9.92e-05,9.92e-05,9.92e-05
50,576.485,1.57905,1.40822,1.33126,0.73871,0.26389,0.3915,0.12027,2.44728,1.99744,1.86807,5.96e-05,5.96e-05,5.96e-05
