epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.704,2.72979,2.95023,1.94108,0.23812,0.12346,0.0872,0.02215,2.7017,2.93088,1.70052,0.000657277,0.000657277,0.000657277
2,218.943,2.57819,2.50745,1.77806,0.27502,0.15556,0.10583,0.02842,2.69886,2.93022,2.00988,0.00131302,0.00131302,0.00131302
3,335.124,2.55266,2.43762,1.77691,0.14868,0.19259,0.09527,0.03019,2.67029,2.86567,1.95216,0.00195777,0.00195777,0.00195777
4,450.827,2.53196,2.39051,1.73359,0.27096,0.25556,0.16787,0.0561,2.57843,2.5689,1.83591,0.0019505,0.0019505,0.0019505
5,567.371,2.50016,2.33814,1.71264,0.28836,0.2358,0.17109,0.05375,2.58158,2.61652,1.85779,0.001934,0.001934,0.001934
6,684.936,2.48826,2.33001,1.72888,0.28593,0.2037,0.16615,0.05316,2.59171,2.45937,1.8249,0.0019175,0.0019175,0.0019175
7,803.731,2.42983,2.30164,1.68181,0.28959,0.28519,0.19494,0.06306,2.48393,2.41797,1.75173,0.001901,0.001901,0.001901
8,924.019,2.41708,2.23834,1.6965,0.28548,0.24022,0.17885,0.0521,2.66281,2.41492,1.88508,0.0018845,0.0018845,0.0018845
9,1044.4,2.39721,2.20039,1.68129,0.2473,0.24568,0.16861,0.05298,2.52906,2.44181,1.78966,0.001868,0.001868,0.001868
10,1161.79,2.36756,2.17741,1.66925,0.33374,0.26543,0.22343,0.07229,2.49997,2.46762,1.74732,0.0018515,0.0018515,0.0018515
11,1277.61,2.37023,2.21459,1.67625,0.28355,0.25185,0.19541,0.06226,2.51902,2.4365,1.85113,0.001835,0.001835,0.001835
12,1393.21,2.3795,2.17953,1.66428,0.31271,0.21605,0.19409,0.06616,2.48876,2.33123,1.75227,0.0018185,0.0018185,0.0018185
13,1563.93,2.38898,2.23215,1.6793,0.26452,0.22222,0.16851,0.05458,2.48798,2.40345,1.76337,0.001802,0.001802,0.001802
14,1745.4,2.34243,2.19366,1.66246,0.25833,0.22469,0.16571,0.05419,2.51414,2.45455,1.7561,0.0017855,0.0017855,0.0017855
15,1928.47,2.35979,2.18549,1.65742,0.32326,0.29753,0.22533,0.07054,2.48818,2.43986,1.78427,0.001769,0.001769,0.001769
16,2108.46,2.34237,2.1198,1.64488,0.36661,0.27531,0.23427,0.07583,2.48105,2.32124,1.74493,0.0017525,0.0017525,0.0017525
17,2289.81,2.3291,2.10561,1.6391,0.34745,0.27037,0.22319,0.07464,2.47762,2.2591,1.7698,0.001736,0.001736,0.001736
18,2470.22,2.327,2.12252,1.64116,0.33835,0.28395,0.24532,0.07414,2.47872,2.27803,1.73111,0.0017195,0.0017195,0.0017195
19,2656.13,2.32869,2.07628,1.60962,0.33141,0.26914,0.21181,0.07385,2.44976,2.29339,1.73887,0.001703,0.001703,0.001703
20,2874.43,2.27241,2.08711,1.62022,0.37027,0.27294,0.23899,0.0774,2.49228,2.26679,1.77926,0.0016865,0.0016865,0.0016865
21,3094.48,2.2972,2.06177,1.61818,0.28416,0.2321,0.18363,0.06139,2.47279,2.41667,1.75991,0.00167,0.00167,0.00167
22,3313.97,2.29586,2.04764,1.60684,0.31813,0.24815,0.21033,0.07071,2.46063,2.29778,1.77251,0.0016535,0.0016535,0.0016535
23,3532.5,2.26307,2.03876,1.60401,0.35826,0.27407,0.23069,0.07591,2.53256,2.29131,1.75299,0.001637,0.001637,0.001637
24,3750.78,2.25328,2.05094,1.60181,0.30369,0.30864,0.22398,0.07315,2.53126,2.24618,1.79289,0.0016205,0.0016205,0.0016205
25,3969.97,2.26054,1.99517,1.57502,0.33296,0.26049,0.21544,0.07076,2.47521,2.32815,1.7637,0.001604,0.001604,0.001604
26,4190.16,2.26824,2.04734,1.60687,0.33611,0.30127,0.24435,0.07873,2.44489,2.29746,1.73287,0.0015875,0.0015875,0.0015875
27,4409.85,2.27216,1.99429,1.58542,0.35006,0.26173,0.22463,0.07226,2.51353,2.36033,1.77824,0.001571,0.001571,0.001571
28,4628,2.26772,2.01402,1.5741,0.32504,0.2723,0.2041,0.06445,2.55436,2.29451,1.76746,0.0015545,0.0015545,0.0015545
29,4846.97,2.20712,1.96088,1.57146,0.34777,0.26528,0.22788,0.07234,2.47531,2.2705,1.76952,0.001538,0.001538,0.001538
30,5064.79,2.22476,1.9612,1.55375,0.32244,0.2716,0.21418,0.06873,2.51669,2.2661,1.77634,0.0015215,0.0015215,0.0015215
31,5283.69,2.1894,1.90494,1.56076,0.34421,0.27735,0.22411,0.07155,2.48346,2.31818,1.76834,0.001505,0.001505,0.001505
32,5503.41,2.19829,1.94348,1.53973,0.34552,0.3037,0.23119,0.07333,2.46968,2.24278,1.7546,0.0014885,0.0014885,0.0014885
33,5721.29,2.19266,1.89478,1.5515,0.37406,0.28395,0.24126,0.08158,2.43075,2.19512,1.7386,0.001472,0.001472,0.001472
34,5940.6,2.21351,1.93075,1.55744,0.32862,0.26914,0.21373,0.06727,2.47077,2.29605,1.78395,0.0014555,0.0014555,0.0014555
35,6158.95,2.21922,1.91758,1.56691,0.32057,0.29012,0.23844,0.07839,2.45034,2.21198,1.76573,0.001439,0.001439,0.001439
36,6376.79,2.17254,1.87125,1.52997,0.35875,0.28765,0.23691,0.07731,2.47287,2.26844,1.74943,0.0014225,0.0014225,0.0014225
37,6595.71,2.19765,1.87261,1.54368,0.32127,0.2729,0.21628,0.07394,2.5055,2.27728,1.77275,0.001406,0.001406,0.001406
38,6814.33,2.14776,1.86696,1.54008,0.34224,0.26543,0.2159,0.07337,2.48546,2.26903,1.79788,0.0013895,0.0013895,0.0013895
39,7032.8,2.17139,1.84548,1.52006,0.33198,0.2902,0.22977,0.07611,2.48074,2.24572,1.75968,0.001373,0.001373,0.001373
40,7250.76,2.13083,1.84532,1.52659,0.36263,0.31481,0.24151,0.07611,2.55492,2.27456,1.7981,0.0013565,0.0013565,0.0013565
41,7469.31,2.14012,1.79163,1.50072,0.32198,0.27901,0.22618,0.07122,2.51076,2.30582,1.80797,0.00134,0.00134,0.00134
42,7688.75,2.11484,1.79477,1.50163,0.33283,0.28947,0.2448,0.07976,2.47529,2.20855,1.75164,0.0013235,0.0013235,0.0013235
43,7905.25,2.11831,1.79637,1.51199,0.30989,0.30247,0.23701,0.07863,2.515,2.21588,1.82571,0.001307,0.001307,0.001307
44,8123.69,2.11395,1.74123,1.48067,0.35588,0.32059,0.25904,0.0839,2.51184,2.21616,1.78951,0.0012905,0.0012905,0.0012905
45,8341.37,2.09705,1.76264,1.49228,0.33424,0.29136,0.23789,0.07976,2.45437,2.23049,1.74783,0.001274,0.001274,0.001274
46,8559.01,2.06349,1.75445,1.48819,0.33145,0.26914,0.21577,0.07363,2.49687,2.26088,1.7832,0.0012575,0.0012575,0.0012575
47,8777.11,2.08674,1.73998,1.47299,0.34473,0.30123,0.25033,0.08091,2.53665,2.23102,1.78627,0.001241,0.001241,0.001241
48,8994.83,2.05064,1.74204,1.4698,0.37006,0.28642,0.23513,0.07551,2.52981,2.26459,1.81888,0.0012245,0.0012245,0.0012245
49,9216.59,2.09175,1.72612,1.46821,0.35902,0.31481,0.26133,0.07962,2.52523,2.21357,1.80464,0.001208,0.001208,0.001208
50,9436.77,2.07616,1.7181,1.47687,0.32643,0.2642,0.2171,0.06899,2.51242,2.29407,1.80576,0.0011915,0.0011915,0.0011915
51,9656.11,2.05804,1.69437,1.44416,0.35465,0.25556,0.22848,0.07056,2.50498,2.26579,1.79199,0.001175,0.001175,0.001175
52,9875.08,2.03999,1.66786,1.45713,0.36942,0.28785,0.23336,0.07342,2.5451,2.22664,1.81622,0.0011585,0.0011585,0.0011585
53,10093,2.02502,1.65323,1.44556,0.33497,0.31235,0.2383,0.07742,2.53176,2.22824,1.80229,0.001142,0.001142,0.001142
54,10311.4,2.04433,1.63557,1.44419,0.33759,0.2963,0.23016,0.07019,2.55781,2.23309,1.80979,0.0011255,0.0011255,0.0011255
55,10529.3,2.02263,1.68143,1.45147,0.36696,0.27654,0.22989,0.07353,2.53483,2.22183,1.82206,0.001109,0.001109,0.001109
56,10747.7,2.01946,1.62375,1.43442,0.38575,0.29877,0.24261,0.0734,2.52516,2.24102,1.79237,0.0010925,0.0010925,0.0010925
57,10972.9,1.98671,1.60263,1.43481,0.31743,0.30946,0.23969,0.07462,2.56226,2.32473,1.79529,0.001076,0.001076,0.001076
58,11190.5,1.99945,1.62589,1.41852,0.35058,0.29657,0.23707,0.07379,2.53457,2.2527,1.80902,0.0010595,0.0010595,0.0010595
59,11409.3,2.0003,1.63157,1.44402,0.31757,0.28148,0.21945,0.07037,2.54947,2.30081,1.82151,0.001043,0.001043,0.001043
60,11627.4,2.00288,1.58714,1.42289,0.32485,0.27901,0.21947,0.06693,2.51943,2.35052,1.82658,0.0010265,0.0010265,0.0010265
61,11845.2,1.9765,1.56185,1.4122,0.32152,0.28395,0.24015,0.076,2.51284,2.26624,1.78626,0.00101,0.00101,0.00101
62,12062,1.96927,1.56306,1.40762,0.31433,0.28148,0.22214,0.07058,2.50535,2.23526,1.79527,0.0009935,0.0009935,0.0009935
63,12279,1.93479,1.55267,1.39637,0.30238,0.30123,0.22211,0.06856,2.57284,2.32361,1.84909,0.000977,0.000977,0.000977
64,12497.5,1.94989,1.52592,1.38577,0.36031,0.27778,0.22767,0.0707,2.61495,2.25979,1.85806,0.0009605,0.0009605,0.0009605
65,12716.6,1.96375,1.52945,1.39367,0.35486,0.29136,0.23346,0.0756,2.50014,2.21183,1.78354,0.000944,0.000944,0.000944
66,12934.2,1.9444,1.52647,1.38735,0.31243,0.26049,0.20733,0.06676,2.55565,2.29441,1.82366,0.0009275,0.0009275,0.0009275
67,13154,1.95241,1.49225,1.38867,0.31162,0.29259,0.21796,0.06687,2.57754,2.25674,1.84707,0.000911,0.000911,0.000911
